DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
1999-11-21,Minnesota Timberwolves,105,Vancouver Grizzlies,81
1999-11-22,Indiana Pacers,85,Boston Celtics,95
1999-11-22,San Antonio Spurs,94,Philadelphia 76ers,91
1999-11-22,Minnesota Timberwolves,93,Utah Jazz,108
1999-11-23,Miami Heat,106,Atlanta Hawks,113
1999-11-23,Portland Trail Blazers,100,Cleveland Cavaliers,103
1999-11-23,Dallas Mavericks,99,Houston Rockets,119
1999-11-23,New York Knicks,95,Los Angeles Clippers,100
1999-11-23,Toronto Raptors,93,Phoenix Suns,94
1999-11-23,New Jersey Nets,92,Sacramento Kings,105
1999-11-23,Vancouver Grizzlies,87,Washington Wizards,89
1999-11-24,San Antonio Spurs,121,Boston Celtics,98
1999-11-24,Vancouver Grizzlies,73,Charlotte Hornets,89
1999-11-24,Toronto Raptors,84,Denver Nuggets,109
1999-11-24,New Jersey Nets,92,Golden State Warriors,84
1999-11-24,Utah Jazz,82,Los Angeles Lakers,90
1999-11-24,Atlanta Hawks,91,Miami Heat,93
1999-11-24,Chicago Bulls,95,Milwaukee Bucks,102
1999-11-24,Portland Trail Blazers,88,Minnesota Timberwolves,81
1999-11-24,Dallas Mavericks,100,Orlando Magic,112
1999-11-24,Washington Wizards,101,Philadelphia 76ers,93
1999-11-25,Detroit Pistons,107,Indiana Pacers,99
1999-11-26,Milwaukee Bucks,114,Boston Celtics,112
1999-11-26,Washington Wizards,85,Charlotte Hornets,118
1999-11-26,Minnesota Timberwolves,105,Denver Nuggets,114
1999-11-26,Atlanta Hawks,91,Detroit Pistons,93
1999-11-26,Vancouver Grizzlies,86,Indiana Pacers,105
1999-11-26,New Jersey Nets,80,Los Angeles Lakers,103
1999-11-26,Cleveland Cavaliers,83,Philadelphia 76ers,106
1999-11-26,Houston Rockets,88,Portland Trail Blazers,91
1999-11-26,Golden State Warriors,95,Sacramento Kings,124
1999-11-26,Chicago Bulls,78,San Antonio Spurs,101
1999-11-26,Los Angeles Clippers,93,Seattle SuperSonics,98
1999-11-26,Toronto Raptors,100,Utah Jazz,87
1999-11-27,Boston Celtics,84,Atlanta Hawks,94
1999-11-27,Charlotte Hornets,89,Cleveland Cavaliers,106
1999-11-27,Chicago Bulls,83,Dallas Mavericks,95
1999-11-27,Toronto Raptors,106,Golden State Warriors,88
1999-11-27,Portland Trail Blazers,88,Los Angeles Clippers,71
1999-11-27,Washington Wizards,86,Miami Heat,89
1999-11-27,Philadelphia 76ers,82,Milwaukee Bucks,79
1999-11-27,Vancouver Grizzlies,82,Minnesota Timberwolves,113
1999-11-27,Orlando Magic,96,New York Knicks,99
1999-11-27,New Jersey Nets,90,Phoenix Suns,129
1999-11-27,Denver Nuggets,87,San Antonio Spurs,106
1999-11-28,Orlando Magic,108,Detroit Pistons,99
1999-11-28,Indiana Pacers,91,Seattle SuperSonics,102
1999-11-29,Sacramento Kings,88,Miami Heat,98
1999-11-29,Dallas Mavericks,82,New York Knicks,107
1999-11-29,Indiana Pacers,93,Portland Trail Blazers,91
1999-11-29,Golden State Warriors,99,Utah Jazz,115
1999-11-29,Houston Rockets,118,Vancouver Grizzlies,110
1999-11-30,Dallas Mavericks,99,Cleveland Cavaliers,106
1999-11-30,Phoenix Suns,94,Los Angeles Clippers,80
1999-11-30,Denver Nuggets,92,Minnesota Timberwolves,109
1999-11-30,Washington Wizards,85,New Jersey Nets,78
1999-11-30,Sacramento Kings,111,Orlando Magic,102
1999-11-30,New York Knicks,70,Philadelphia 76ers,74
1999-11-30,Detroit Pistons,87,San Antonio Spurs,106
1999-11-30,Los Angeles Lakers,101,Seattle SuperSonics,77
1999-11-30,Atlanta Hawks,107,Toronto Raptors,89
1999-12-01,Detroit Pistons,96,Denver Nuggets,100
1999-12-01,Golden State Warriors,75,Los Angeles Lakers,93
1999-12-01,Philadelphia 76ers,83,Miami Heat,90
